org_node_id,parent_org_node_id,node_type,node_name,ref_id,path
ORG_SEC_central_services_repair___retread_operation_SITE_kpuc_malinau_WORK_repair___retread___ck_dmp_lahat,ORG_SEC_central_services_repair___retread_operation_SITE_kpuc_malinau,work_location,Repair & Retread - CK DMP Lahat,WORK_repair___retread___ck_dmp_lahat,HERO > Central Services > Repair / Retread Operation > KPUC Malinau > Repair & Retread - CK DMP Lahat
ORG_SEC_central_services_repair___retread_operation_SITE_kpuc_malinau_WORK_repair___retread___kpuc_malinau,ORG_SEC_central_services_repair___retread_operation_SITE_kpuc_malinau,work_location,Repair & Retread - KPUC Malinau,WORK_repair___retread___kpuc_malinau,HERO > Central Services > Repair / Retread Operation > KPUC Malinau > Repair & Retread - KPUC Malinau
ORG_SEC_central_services_repair___retread_operation_SITE_mtn___berau,ORG_SEC_central_services_repair___retread_operation,site,MTN - Berau,SITE_mtn___berau,HERO > Central Services > Repair / Retread Operation > MTN - Berau
ORG_SEC_central_services_repair___retread_operation_SITE_mtn___berau_WORK_repair___retread___madhani_berau,ORG_SEC_central_services_repair___retread_operation_SITE_mtn___berau,work_location,Repair & Retread - Madhani Berau,WORK_repair___retread___madhani_berau,HERO > Central Services > Repair / Retread Operation > MTN - Berau > Repair & Retread - Madhani Berau
ORG_SEC_central_services_repair___retread_operation_SITE_mtn___berau_WORK_repair___retread___sangatta,ORG_SEC_central_services_repair___retread_operation_SITE_mtn___berau,work_location,Repair & Retread - Sangatta,WORK_repair___retread___sangatta,HERO > Central Services > Repair / Retread Operation > MTN - Berau > Repair & Retread - Sangatta
ORG_SEC_central_services_repair___retread_operation_SITE_mtn___me,ORG_SEC_central_services_repair___retread_operation,site,MTN - ME,SITE_mtn___me,HERO > Central Services > Repair / Retread Operation > MTN - ME
ORG_SEC_central_services_repair___retread_operation_SITE_mtn___me_WORK_repair___retread___madhani_me,ORG_SEC_central_services_repair___retread_operation_SITE_mtn___me,work_location,Repair & Retread - Madhani ME,WORK_repair___retread___madhani_me,HERO > Central Services > Repair / Retread Operation > MTN - ME > Repair & Retread - Madhani ME
ORG_SEC_central_services_repair___retread_operation_SITE_pka_musi_rawas,ORG_SEC_central_services_repair___retread_operation,site,PKA Musi Rawas,SITE_pka_musi_rawas,HERO > Central Services > Repair / Retread Operation > PKA Musi Rawas
ORG_SEC_central_services_repair___retread_operation_SITE_pka_musi_rawas_WORK_repair___retread___madhani_me,ORG_SEC_central_services_repair___retread_operation_SITE_pka_musi_rawas,work_location,Repair & Retread - Madhani ME,WORK_repair___retread___madhani_me,HERO > Central Services > Repair / Retread Operation > PKA Musi Rawas > Repair & Retread - Madhani ME
ORG_SEC_central_services_repair___retread_operation_SITE_pka_musi_rawas_WORK_repair___retread___ppa_bukit_asam,ORG_SEC_central_services_repair___retread_operation_SITE_pka_musi_rawas,work_location,Repair & Retread - PPA Bukit Asam,WORK_repair___retread___ppa_bukit_asam,HERO > Central Services > Repair / Retread Operation > PKA Musi Rawas > Repair & Retread - PPA Bukit Asam
ORG_SEC_central_services_repair___retread_operation_SITE_ppa_ba,ORG_SEC_central_services_repair___retread_operation,site,PPA BA,SITE_ppa_ba,HERO > Central Services > Repair / Retread Operation > PPA BA
ORG_SEC_central_services_repair___retread_operation_SITE_ppa_ba_WORK_repair___retread___ppa_bukit_asam,ORG_SEC_central_services_repair___retread_operation_SITE_ppa_ba,work_location,Repair & Retread - PPA Bukit Asam,WORK_repair___retread___ppa_bukit_asam,HERO > Central Services > Repair / Retread Operation > PPA BA > Repair & Retread - PPA Bukit Asam
